submitted,name_matched,accepted_name,accepted_species,accepted_family,overall_score
Sporobolus centrifugus,Sporobolus centrifugus,Sporobolus centrifugus,Sporobolus centrifugus,Poaceae,1
Stachys natalensis,Stachys natalensis,Stachys natalensis,Stachys natalensis,Lamiaceae,1
Stellaria graminea,Stellaria graminea,Stellaria graminea,Stellaria graminea,Caryophyllaceae,1
Stellaria humifusa,Stellaria humifusa,Stellaria humifusa,Stellaria humifusa,Caryophyllaceae,1
Stellaria longipes,Stellaria longipes,Stellaria longipes,Stellaria longipes,Caryophyllaceae,1
Stevia pennellii,Stevia pennellii,Stevia pennellii,Stevia pennellii,Asteraceae,1
Stiburus alopecuroides,Stiburus alopecuroides,Stiburus alopecuroides,Stiburus alopecuroides,Poaceae,1
Swertia macrosperma,Swertia macrosperma,Swertia macrosperma,Swertia macrosperma,Gentianaceae,1
Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,Symphoricarpos rotundifolius,Caprifoliaceae,1
Taraxacum,Taraxacum,Taraxacum,,Asteraceae,1
Taraxacum officinale,Taraxacum officinale,Taraxacum officinale,Taraxacum officinale,Asteraceae,1
Taraxacum officinales,Taraxacum officinale,Taraxacum officinale,Taraxacum officinale,Asteraceae,0.98599670627294
Tenaxia disticha,Tenaxia disticha,Tenaxia disticha,Tenaxia disticha,Poaceae,1
Thalictrum alpinum,Thalictrum alpinum,Thalictrum alpinum,Thalictrum alpinum,Ranunculaceae,1
Thalictrum fendleri,Thalictrum fendleri,Thalictrum fendleri,Thalictrum fendleri,Ranunculaceae,1
Themeda triandra,Themeda triandra,Themeda triandra,Themeda triandra,Poaceae,1
Thesium,Thesium,Thesium,,Santalaceae,1
Thlaspi arvense,Thlaspi arvense,Thlaspi arvense,Thlaspi arvense,Brassicaceae,1
Tofieldia pusilla,Tofieldia pusilla,Tofieldia pusilla,Tofieldia pusilla,Tofieldiaceae,1
Tragopogon dubius,Tragopogon dubius,Tragopogon dubius,Tragopogon dubius,Asteraceae,1
Trichophorum rigidum,Trichophorum rigidum,Trichophorum rigidum,Trichophorum rigidum,Cyperaceae,1
Trientalis europea,Trientalis europaea,Lysimachia europaea,Lysimachia europaea,Primulaceae,0.97922049354994
Trifolium burchellianum,Trifolium burchellianum,Trifolium burchellianum,Trifolium burchellianum,Fabaceae,1
Trifolium gymnocarpum,Trifolium gymnocarpon,Trifolium gymnocarpon,Trifolium gymnocarpon,Fabaceae,0.96542355975219
Trifolium longipes,Trifolium longipes,Trifolium longipes,Trifolium longipes,Fabaceae,1
Trifolium repens,Trifolium repens,Trifolium repens,Trifolium repens,Fabaceae,1
Trisetum spicatum,Trisetum spicatum,Koeleria spicata,Koeleria spicata,Poaceae,1
Tristachya leucothrix,Tristachya leucothrix,Tristachya leucothrix,Tristachya leucothrix,Poaceae,1
Ursinia montana,Ursinia montana,Ursinia montana,Ursinia montana,Asteraceae,1
Vaccinium floribundum,Vaccinium floribundum,Vaccinium floribundum,Vaccinium floribundum,Ericaceae,1
Vaccinium myrtillus,Vaccinium myrtillus,Vaccinium myrtillus,Vaccinium myrtillus,Ericaceae,1
Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum,Ericaceae,1
Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium vitis-idaea,Ericaceae,1
Valeriana capensis,Valeriana capensis,Valeriana capensis,Valeriana capensis,Caprifoliaceae,1
Valeriana occidentalis,Valeriana occidentalis,Valeriana occidentalis,Valeriana occidentalis,Caprifoliaceae,1
Veratrum tenuipetalum,Veratrum tenuipetalum,Veratrum californicum var. californicum,Veratrum californicum,Melanthiaceae,1
Vernonia natalensis,Vernonia natalensis,Hilliardiella aristata,Hilliardiella aristata,Asteraceae,1
Veronica alpina,Veronica alpina,Veronica alpina,Veronica alpina,Plantaginaceae,1
Veronica chamaedrys,Veronica chamaedrys,Veronica chamaedrys,Veronica chamaedrys,Plantaginaceae,1
Veronica officinalis,Veronica officinalis,Veronica officinalis,Veronica officinalis,Plantaginaceae,1
Veronica szechuanica,Veronica szechuanica,Veronica szechuanica,Veronica szechuanica,Plantaginaceae,1
Vicia americana,Vicia americana,Vicia americana,Vicia americana,Fabaceae,1
Vicia cracca,Vicia cracca,Vicia cracca,Vicia cracca,Fabaceae,1
Viola adunca,Viola adunca,Viola adunca,Viola adunca,Violaceae,1
Viola biflora var. rockiana,Viola biflora var. rockiana,Viola biflora var. rockiana,Viola biflora,Violaceae,1
Viola nuttalli,Viola nuttallii,Viola nuttallii,Viola nuttallii,Violaceae,0.98210117101673
Viola palustris,Viola palustris,Viola palustris,Viola palustris,Violaceae,1
Viola pygmaea,Viola pygmaea,Viola pygmaea,Viola pygmaea,Violaceae,1
Viola riviniana,Viola riviniana,Viola riviniana,Viola riviniana,Violaceae,1
Viola szetschwanensis,Viola szetschwanensis,Viola szetschwanensis,Viola szetschwanensis,Violaceae,1
Viola thymifolia,Viola thymifolia,Viola thymifolia,Viola thymifolia,Violaceae,1
Viola tricolor,Viola tricolor,Viola tricolor,Viola tricolor,Violaceae,1
Wahlenbergia krebsii,Wahlenbergia krebsii,Wahlenbergia krebsii,Wahlenbergia krebsii,Campanulaceae,1
Werneria nubigena,Werneria nubigena,Werneria nubigena,Werneria nubigena,Asteraceae,1
Werneria villosa,Werneria villosa,Werneria villosa,Werneria villosa,Asteraceae,1
Youngia racemifera,Youngia racemifera,Youngia racemifera,Youngia racemifera,Asteraceae,1
Zaluzianskya,Zaluzianskya,Zaluzianskya,,Scrophulariaceae,1
